TID,ITEM_SET
1,"Wireless Mouse,Laptop,Smartphone,Tablet"
2,"Headphones,Smartwatch,Tablet,Gaming Console"
3,"Headphones,Smart TV,External Hard Drive,Laptop"
4,"Wireless Mouse,External Hard Drive,Smartphone,Laptop"
5,"Wireless Mouse,Smart TV,Smartphone,Gaming Console"
6,"Headphones,Smart TV,Laptop,Gaming Console"
7,"Headphones,Smart TV,Smartphone,Gaming Console"
8,"Wireless Mouse,Smart TV,Headphones,Laptop"
9,"Smart TV,Smartwatch,External Hard Drive,Smartphone"
10,"Wireless Mouse,External Hard Drive,Smartphone,Headphones"
11,"Wireless Mouse,External Hard Drive,Smartphone,Laptop"
12,"Headphones,Smartwatch,Tablet,Gaming Console"
13,"Headphones,Smart TV,Smartphone,Gaming Console"
14,"Headphones,External Hard Drive,Smartwatch,Wireless Mouse"
15,"Headphones,External Hard Drive,Smartphone,Wireless Mouse"
16,"Headphones,Smart TV,Smartphone,Laptop"
17,"Headphones,External Hard Drive,Smartwatch,Wireless Mouse"
18,"Laptop,Smartphone,Smart TV,External Hard Drive"
19,"Smartwatch,Laptop,Smartphone,Gaming Console"
20,"Wireless Mouse,Smart TV,Smartphone,Tablet"
21,"Headphones,External Hard Drive,Smartphone,Wireless Mouse"
22,"Laptop,Smartphone,Tablet,Gaming Console"
23,"Wireless Mouse,Laptop,Headphones,Gaming Console"
24,"Wireless Mouse,Laptop,Smartwatch,Gaming Console"
25,"External Hard Drive,Smart TV,Laptop,Tablet"
26,"Headphones,Laptop,Smartphone,Smartwatch"
27,"Wireless Mouse,External Hard Drive,Smart TV,Gaming Console"
28,"External Hard Drive,Smartwatch,Smartphone,Tablet"
29,"Wireless Mouse,Smart TV,Tablet,Gaming Console"
30,"Headphones,External Hard Drive,Smartwatch,Laptop"
31,"Headphones,Smart TV,Smartphone,Laptop"
32,"Headphones,External Hard Drive,Smartwatch,Laptop"
33,"Headphones,Laptop,Smartwatch,Smart TV"
34,"External Hard Drive,Smartphone,Smart TV,Gaming Console"
35,"Headphones,Laptop,Smartphone,Gaming Console"
36,"Headphones,Laptop,Smartwatch,Tablet"
37,"Headphones,Laptop,Smartwatch,Tablet"
38,"Smartwatch,Smart TV,Smartphone,Gaming Console"
39,"External Hard Drive,Laptop,Tablet,Gaming Console"
40,"Wireless Mouse,Smartphone,Headphones,Gaming Console"
41,"External Hard Drive,Smart TV,Tablet,Gaming Console"
42,"Headphones,Laptop,Smartphone,Wireless Mouse"
43,"Wireless Mouse,External Hard Drive,Smartphone,Laptop"
44,"Wireless Mouse,Laptop,Smart TV,External Hard Drive"
45,"External Hard Drive,Smartphone,Tablet,Gaming Console"
46,"Laptop,External Hard Drive,Smart TV,Gaming Console"
47,"Wireless Mouse,Smartphone,Headphones,Smartwatch"
48,"Smart TV,Smartphone,External Hard Drive,Laptop"
49,"Wireless Mouse,Smartphone,Headphones,Gaming Console"
50,"Headphones,Laptop,External Hard Drive,Wireless Mouse"
51,"Laptop,Smartwatch,Smartphone,Gaming Console"
52,"Wireless Mouse,Laptop,Tablet,Gaming Console"
53,"Smartwatch,External Hard Drive,Smartphone,Tablet"
54,"Smartwatch,Smartphone,Headphones"
55,"Wireless Mouse,External Hard Drive,Smartwatch,Smartphone"
56,"Headphones,Laptop,Smartwatch,Wireless Mouse"
57,"Wireless Mouse,Laptop,Smartphone,Tablet"
58,"Wireless Mouse,Smartphone,Smartwatch,Gaming Console"
59,"Headphones,External Hard Drive,Tablet,Gaming Console"
60,"Smartwatch,Laptop,Smartphone,Smart TV"
61,"Headphones,Laptop,Smartwatch,Wireless Mouse"
62,"Headphones,Laptop,Smartphone,Wireless Mouse"
63,"External Hard Drive,Smartwatch,Laptop,Gaming Console"
64,"External Hard Drive,Smartwatch,Laptop,Tablet"
65,"Wireless Mouse,External Hard Drive,Smartphone,Tablet"
66,"Headphones,Laptop,Smartphone,Wireless Mouse"
67,"Wireless Mouse,Laptop,Smartphone,External Hard Drive"
68,"Wireless Mouse,Smart TV,Smartphone,Gaming Console"
69,"Headphones,Smart TV,Smartwatch,Laptop"
70,"Wireless Mouse,Laptop,Smart TV,Gaming Console"
71,"Wireless Mouse,Laptop,Headphones,Tablet"
72,"Headphones,Smart TV,Laptop,Gaming Console"
