TID,ITEM_SET
1,"Potting Soil,Shovel,Vegetable Seeds,Flower Seeds"
2,"Potting Soil,Shovel,Fertilizer,Flower Seeds"
3,"Shovel,Gardening Gloves,Fertilizer,Potting Soil"
4,"Flower Seeds,Rake,Fertilizer,Potting Soil"
5,"Watering Can,Shovel,Gardening Gloves,Rake"
6,"Flower Seeds,Vegetable Seeds,Fertilizer,Planter"
7,"Potting Soil,Garden Hose,Vegetable Seeds,Flower Seeds"
8,"Planter,Rake,Vegetable Seeds,Potting Soil"
9,"Watering Can,Potting Soil,Rake,Flower Seeds"
10,"Shovel,Garden Hose,Fertilizer,Planter"
11,"Garden Hose,Shovel,Vegetable Seeds,Fertilizer"
12,"Fertilizer,Garden Hose,Flower Seeds,Potting Soil"
13,"Shovel,Garden Hose,Fertilizer,Gardening Gloves"
14,"Watering Can,Potting Soil,Flower Seeds,Planter"
15,"Flower Seeds,Gardening Gloves,Fertilizer,Planter"
16,"Shovel,Garden Hose,Fertilizer,Vegetable Seeds"
17,"Watering Can,Planter,Fertilizer,Flower Seeds"
18,"Watering Can,Planter,Shovel,Flower Seeds"
19,"Potting Soil,Planter,Fertilizer,Flower Seeds"
20,"Watering Can,Shovel,Fertilizer,Planter"
21,"Gardening Gloves,Shovel,Garden Hose,Potting Soil"
22,"Planter,Shovel,Fertilizer,Potting Soil"
23,"Planter,Gardening Gloves,Fertilizer,Vegetable Seeds"
24,"Fertilizer,Vegetable Seeds,Flower Seeds,Potting Soil"
25,"Watering Can,Potting Soil,Gardening Gloves,Flower Seeds"
26,"Watering Can,Gardening Gloves,Fertilizer,Flower Seeds"
27,"Watering Can,Shovel,Vegetable Seeds,Flower Seeds"
28,"Shovel,Gardening Gloves,Flower Seeds,Vegetable Seeds"
29,"Watering Can,Garden Hose,Gardening Gloves,Fertilizer"
30,"Watering Can,Planter,Shovel,Potting Soil"
31,"Rake,Shovel,Gardening Gloves,Fertilizer"
32,"Potting Soil,Shovel,Vegetable Seeds,Planter"
33,"Rake,Gardening Gloves,Fertilizer,Shovel"
34,"Watering Can,Potting Soil,Vegetable Seeds,Flower Seeds"
35,"Watering Can,Planter,Flower Seeds,Potting Soil"
36,"Watering Can,Shovel,Gardening Gloves,Flower Seeds"
37,"Watering Can,Shovel,Garden Hose,Fertilizer"
38,"Potting Soil,Shovel,Vegetable Seeds,Planter"
39,"Watering Can,Shovel,Gardening Gloves,Rake"
40,"Shovel,Garden Hose,Flower Seeds,Potting Soil"
41,"Planter,Shovel,Vegetable Seeds,Flower Seeds"
42,"Rake,Garden Hose,Flower Seeds,Potting Soil"
43,"Watering Can,Potting Soil,Flower Seeds,Planter"
44,"Watering Can,Shovel,Flower Seeds,Potting Soil"
45,"Garden Hose,Gardening Gloves,Flower Seeds,Potting Soil"
46,"Watering Can,Garden Hose,Vegetable Seeds,Planter"
47,"Watering Can,Shovel,Vegetable Seeds,Gardening Gloves"
48,"Shovel,Gardening Gloves,Rake,Flower Seeds"
49,"Gardening Gloves,Shovel,Vegetable Seeds,Flower Seeds"
50,"Watering Can,Shovel,Vegetable Seeds,Planter"
51,"Flower Seeds,Gardening Gloves,Fertilizer,Planter"
52,"Planter,Garden Hose,Vegetable Seeds,Gardening Gloves"
53,"Watering Can,Garden Hose,Vegetable Seeds,Flower Seeds"
54,"Planter,Vegetable Seeds,Flower Seeds,Potting Soil"
55,"Watering Can,Garden Hose,Shovel,Vegetable Seeds"
56,"Shovel,Vegetable Seeds,Fertilizer,Gardening Gloves"
57,"Planter,Garden Hose,Vegetable Seeds,Gardening Gloves"
