TID,ITEM_SET
1,"Milk,Bread,Chips,Apples"
2,"Milk,Bread,Butter,Soda"
3,"Apples,Bread,Butter,Soda"
4,"Butter,Bread,Chips,Soda"
5,"Diapers,Apples,Butter,Chips"
6,"Diapers,Milk,Bread,Butter"
7,"Butter,Apples,Chips,Milk"
8,"Apples,Eggs,Butter,Soda"
9,"Milk,Bread,Eggs,Chips"
10,"Apples,Butter,Milk,Chips"
11,"Apples,Bread,Chips,Soda"
12,"Apples,Bread,Eggs,Milk"
13,"Diapers,Milk,Butter,Chips"
14,"Butter,Eggs,Chips,Soda"
15,"Diapers,Bread,Chips,Soda"
16,"Apples,Bread,Eggs,Butter"
17,"Diapers,Bread,Eggs,Butter"
18,"Diapers,Milk,Bread,Chips"
19,"Milk,Bread,Chips,Apples"
20,"Apples,Chips,Soda"
21,"Diapers,Bread,Eggs,Butter"
22,"Diapers,Milk,Bread,Eggs"
23,"Milk,Bread,Chips,Soda"
24,"Diapers,Bread,Butter,Soda"
25,"Apples,Bread,Chips,Milk"
26,"Apples,Bread,Butter,Chips"
27,"Diapers,Eggs,Butter,Soda"
28,"Diapers,Bread,Eggs,Butter"
29,"Diapers,Bread,Butter,Chips"
30,"Milk,Bread,Eggs,Chips"
31,"Bread,Butter,Soda,Chips"
32,"Apples,Bread,Soda,Milk"
33,"Apples,Chips,Soda,Milk"
34,"Diapers,Eggs,Chips,Soda"
35,"Apples,Bread,Butter,Soda"
36,"Milk,Bread,Eggs,Chips"
37,"Milk,Bread,Eggs,Chips"
38,"Diapers,Milk,Eggs,Chips"
39,"Diapers,Milk,Bread,Soda"
40,"Diapers,Milk,Bread,Soda"
41,"Milk,Eggs,Chips,Soda"
42,"Apples,Bread,Chips,Milk"
43,"Diapers,Bread,Butter,Chips"
44,"Milk,Bread,Butter,Soda"
45,"Diapers,Apples,Butter,Chips"
46,"Apples,Bread,Butter,Chips"
47,"Apples,Bread,Eggs,Milk"
48,"Milk,Bread,Butter,Soda"
49,"Milk,Bread,Butter,Soda"
50,"Milk,Bread,Eggs,Butter"
51,"Bread,Eggs,Butter,Chips"
52,"Diapers,Eggs"
53,"Apples,Chicken"
54,"Diapers,Milk,Bread,Soda"
55,"Apples,Bread,Butter,Soda"
56,"Apples,Bread,Chips,Soda"
57,"Diapers,Eggs,Chips,Soda"
58,"Milk,Bread,Butter,Soda"
59,"Eggs,Butter,Soda,Chips"
60,"Apples,Eggs,Butter,Milk"
61,"Milk,Bread,Chips,Soda"
62,"Apples,Bread,Eggs,Chips"
63,"Diapers,Butter,Soda,Chips"
64,"Butter,Milk,Chips,Soda"
65,"Diapers,Milk,Eggs,Apples"
66,"Milk,Bread,Eggs,Butter"
67,"Apples,Butter,Soda,Chips"
68,"Diapers,Milk,Bread,Chips"
69,"Diapers,Milk,Butter,Soda"
70,"Milk,Bread,Eggs,Apples"
71,"Diapers,Milk,Bread,Chips"
72,"Milk,Bread,Eggs,Soda"
73,"Diapers,Bread,Butter,Chips"
74,"Apples,Eggs,Butter,Milk"
75,"Chips,Soda"
76,"Apples,Bread,Butter,Chips"
77,"Butter,Milk,Bread,Chips"
78,"Diapers,Milk,Bread,Eggs"
79,"Milk,Bread,Eggs,Soda"
80,"Diapers,Bread,Butter,Soda"
81,"Apples,Butter,Soda,Milk"
82,"Milk,Bread,Eggs,Butter"
83,"Butter,Bread,Chips,Soda"
84,"Diapers,Milk,Soda,Apples"
85,"Milk,Bread,Butter,Apples"
86,"Apples,Eggs,Butter,Soda"
87,"Diapers,Milk,Chips,Soda"
88,"Apples,Bread,Eggs,Butter"
89,"Milk,Bread,Eggs,Butter"
90,"Milk,Butter,Apples,Chips"
91,"Milk,Bread,Eggs,Chips"
92,"Bread,Eggs,Chips,Soda"
93,"Diapers,Milk,Bread,Butter"
94,"Soda,Milk,Chips,Apples"
95,"Diapers,Milk,Eggs,Butter"
96,"Apples,Bread,Eggs,Soda"
97,"Milk,Eggs,Chips,Soda"
98,"Apples,Bread,Butter,Soda"
99,"Apples,Chips,Soda"
100,"Apples,Bread,Eggs,Butter"
101,"Apples,Butter,Soda,Chips"
102,"Butter,Apples,Chips,Soda"
103,"Diapers,Milk,Bread,Chips"
104,"Apples,Bread,Eggs,Soda"
105,"Milk,Bread,Eggs,Butter"
106,"Milk,Bread,Butter,Chips"
107,"Bread,Eggs,Butter,Chips"
108,"Butter,Apples,Chips,Soda"
109,"Milk,Bread,Eggs,Butter"
110,"Diapers,Eggs,Chips,Soda"
111,"Milk,Bread,Butter,Soda"
112,"Diapers,Milk,Soda,Apples"
113,"Diapers,Apples,Eggs,Chips"
114,"Diapers,Milk,Bread,Eggs"
115,"Milk,Bread,Chips,Apples"
116,"Diapers,Bread,Eggs,Butter"
117,"Diapers,Apples,Chips,Milk"
118,"Apples,Bread,Eggs,Soda"
119,"Apples,Butter,Milk,Chips"
120,"Diapers,Milk,Apples,Soda"
121,"Milk,Bread,Chips,Apples"
122,"Diapers,Milk,Butter,Soda"
123,"Milk,Bread,Eggs,Butter"
124,"Diapers,Milk,Bread,Chips"
125,"Milk,Bread,Eggs,Chips"
126,"Milk,Butter,Soda,Chips"
127,"Milk,Bread,Butter,Chips"
128,"Diapers,Milk,Chips,Apples"
129,"Diapers,Apples,Butter,Soda"
130,"Milk,Eggs,Butter,Chips"
131,"Diapers,Bread,Eggs,Soda"
132,"Diapers,Milk,Eggs,Butter"
133,"Diapers,Apples,Eggs,Butter"
134,"Diapers,Bread,Eggs,Soda"
135,"Butter,Milk,Bread,Chips"
136,"Diapers,Milk,Chips,Soda"
137,"Diapers,Milk,Bread,Eggs"
138,"Diapers,Apples,Bread,Soda"
139,"Milk,Eggs,Chips,Apples"
140,"Diapers,Milk,Bread,Soda"
141,"Milk,Bread,Eggs,Butter"
142,"Apples,Bread,Eggs,Chips"
143,"Diapers,Bread,Chips,Soda"
144,"Apples,Bread,Butter,Soda"
145,"Milk,Bread,Chips,Soda"
146,"Diapers,Milk,Eggs,Soda"
147,"Diapers,Bread,Butter,Soda"
