TID,ITEM_SET
1,"Scratching Post,Pet Bed,Leash,Chew Toys"
2,"Fish Tank,Scratching Post,Cat Litter,Dog Food"
3,"Chew Toys,Dog Food,Flea Collar,Leash"
4,"Scratching Post,Leash,Flea Collar,Dog Food"
5,"Fish Tank,Pet Bed,Leash,Flea Collar"
6,"Cat Litter,Chew Toys,Dog Food,Leash"
7,"Cat Litter,Leash,Flea Collar,Dog Food"
8,"Fish Tank,Cat Litter,Pet Bed,Pet Shampoo"
9,"Pet Shampoo,Chew Toys,Dog Food,Leash"
10,"Scratching Post,Cat Litter,Chew Toys,Dog Food"
11,"Scratching Post,Pet Bed,Leash,Chew Toys"
12,"Cat Litter,Leash,Flea Collar,Dog Food"
13,"Pet Bed,Chew Toys,Leash,Dog Food"
14,"Cat Litter,Dog Food,Flea Collar,Leash"
15,"Pet Bed,Pet Shampoo,Chew Toys,Cat Litter"
16,"Cat Litter,Pet Shampoo,Chew Toys,Dog Food"
17,"Pet Shampoo,Pet Bed,Chew Toys,Dog Food"
18,"Pet Shampoo,Scratching Post,Cat Litter,Leash"
19,"Fish Tank,Scratching Post,Cat Litter,Leash"
20,"Fish Tank,Pet Bed,Dog Food,Leash"
21,"Cat Litter,Pet Shampoo,Chew Toys,Dog Food"
22,"Scratching Post,Cat Litter,Chew Toys,Leash"
23,"Pet Shampoo,Chew Toys,Leash,Flea Collar"
24,"Pet Bed,Cat Litter,Chew Toys,Leash"
25,"Fish Tank,Scratching Post,Cat Litter,Pet Shampoo"
26,"Scratching Post,Cat Litter,Chew Toys,Dog Food"
27,"Fish Tank,Scratching Post,Pet Shampoo,Chew Toys"
28,"Fish Tank,Pet Shampoo,Chew Toys,Dog Food"
29,"Cat Litter,Pet Bed,Leash,Flea Collar"
30,"Scratching Post,Cat Litter,Chew Toys,Leash"
31,"Fish Tank,Scratching Post,Pet Shampoo,Dog Food"
32,"Chew Toys,Pet Bed,Dog Food,Leash"
33,"Fish Tank,Pet Shampoo,Chew Toys,Leash"
34,"Scratching Post,Cat Litter,Pet Bed,Leash"
35,"Fish Tank,Pet Bed,Chew Toys,Dog Food"
36,"Pet Shampoo,Chew Toys,Dog Food,Flea Collar"
37,"Fish Tank,Pet Shampoo,Chew Toys,Dog Food"
38,"Pet Shampoo,Pet Bed,Leash,Flea Collar"
39,"Scratching Post,Cat Litter,Pet Bed,Flea Collar"
40,"Fish Tank,Pet Shampoo,Leash,Dog Food"
41,"Scratching Post,Cat Litter,Chew Toys,Pet Shampoo"
42,"Fish Tank,Pet Bed,Dog Food,Leash"
43,"Cat Litter,Pet Shampoo,Flea Collar,Leash"
44,"Scratching Post,Cat Litter,Dog Food,Flea Collar"
45,"Fish Tank,Pet Shampoo,Chew Toys,Leash"
46,"Scratching Post,Cat Litter,Chew Toys,Flea Collar"
47,"Fish Tank,Pet Shampoo,Chew Toys,Leash"
48,"Fish Tank,Cat Litter,Pet Bed,Flea Collar"
49,"Cat Litter,Dog Food,Flea Collar,Leash"
