TID,ITEM_SET
1,"Athletic Shorts,Running Shoes,Yoga Pants,Sweatband"
2,"Yoga Pants,Running Shoes,Athletic Shorts,Moisture-Wicking T-shirt"
3,"Athletic Shorts,Running Shoes,Compression Socks,Sports Bra"
4,"Yoga Pants,Compression Socks,Athletic Shorts,Moisture-Wicking T-shirt"
5,"Yoga Pants,Water Bottle,Sports Bra,Running Shoes"
6,"Sports Bra,Gym Bag,Yoga Pants,Moisture-Wicking T-shirt"
7,"Sports Bra,Water Bottle,Gym Bag,Athletic Shorts"
8,"Yoga Pants,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
9,"Athletic Shorts,Running Shoes,Yoga Pants,Compression Socks"
10,"Sports Bra,Water Bottle,Gym Bag,Athletic Shorts"
11,"Running Shoes,Water Bottle,Sports Bra,Moisture-Wicking T-shirt"
12,"Yoga Pants,Water Bottle,Running Shoes,Sports Bra"
13,"Athletic Shorts,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
14,"Sports Bra,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
15,"Athletic Shorts,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
16,"Gym Bag,Sports Bra,Yoga Pants,Moisture-Wicking T-shirt"
17,"Water Bottle,Gym Bag,Moisture-Wicking T-shirt,Sweatband"
18,"Athletic Shorts,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
19,"Yoga Pants,Running Shoes,Gym Bag,Sweatband"
20,"Yoga Pants,Water Bottle,Sports Bra,Sweatband"
21,"Yoga Pants,Water Bottle,Athletic Shorts,Compression Socks"
22,"Athletic Shorts,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
23,"Yoga Pants,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
24,"Yoga Pants,Sports Bra,Compression Socks,Moisture-Wicking T-shirt"
25,"Yoga Pants,Athletic Shorts,Compression Socks,Moisture-Wicking T-shirt"
26,"Athletic Shorts,Water Bottle,Yoga Pants,Moisture-Wicking T-shirt"
27,"Gym Bag,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
28,"Athletic Shorts,Running Shoes,Gym Bag,Moisture-Wicking T-shirt"
29,"Yoga Pants,Running Shoes,Moisture-Wicking T-shirt,Sweatband"
30,"Yoga Pants,Water Bottle,Compression Socks,Moisture-Wicking T-shirt"
31,"Yoga Pants,Sports Bra,Compression Socks,Sweatband"
32,"Yoga Pants,Running Shoes,Moisture-Wicking T-shirt,Sweatband"
33,"Athletic Shorts,Running Shoes,Yoga Pants,Moisture-Wicking T-shirt"
34,"Yoga Pants,Water Bottle,Sports Bra,Compression Socks"
35,"Running Shoes,Athletic Shorts,Gym Bag,Compression Socks"
36,"Sports Bra,Running Shoes,Yoga Pants,Moisture-Wicking T-shirt"
37,"Athletic Shorts,Sports Bra,Compression Socks,Moisture-Wicking T-shirt"
38,"Athletic Shorts,Gym Bag,Yoga Pants,Moisture-Wicking T-shirt"
39,"Athletic Shorts,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
40,"Athletic Shorts,Gym Bag,Sports Bra,Sweatband"
41,"Yoga Pants,Running Shoes,Gym Bag,Moisture-Wicking T-shirt"
42,"Gym Bag,Sports Bra,Compression Socks,Moisture-Wicking T-shirt"
43,"Sports Bra,Running Shoes,Gym Bag,Sweatband"
44,"Gym Bag,Running Shoes,Yoga Pants,Moisture-Wicking T-shirt"
45,"Yoga Pants,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
46,"Yoga Pants,Sports Bra,Compression Socks,Sweatband"
47,"Athletic Shorts,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
48,"Yoga Pants,Water Bottle,Sports Bra,Moisture-Wicking T-shirt"
49,"Sports Bra,Water Bottle,Running Shoes,Sweatband"
50,"Gym Bag,Water Bottle,Sports Bra,Moisture-Wicking T-shirt"
51,"Running Shoes,Sports Bra,Gym Bag,Yoga Pants"
52,"Athletic Shorts,Sports Bra,Compression Socks,Moisture-Wicking T-shirt"
53,"Yoga Pants,Sports Bra,Compression Socks,Moisture-Wicking T-shirt"
54,"Athletic Shorts,Yoga Pants,Moisture-Wicking T-shirt,Sweatband"
55,"Yoga Pants,Gym Bag,Athletic Shorts,Moisture-Wicking T-shirt"
56,"Athletic Shorts,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
57,"Yoga Pants,Running Shoes,Sports Bra,Sweatband"
58,"Yoga Pants,Running Shoes,Moisture-Wicking T-shirt,Sweatband"
59,"Yoga Pants,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
60,"Running Shoes,Water Bottle,Gym Bag,Sweatband"
61,"Water Bottle,Gym Bag,Moisture-Wicking T-shirt,Sweatband"
62,"Athletic Shorts,Running Shoes,Sports Bra,Moisture-Wicking T-shirt"
63,"Gym Bag,Running Shoes,Sports Bra,Sweatband"
64,"Yoga Pants,Water Bottle,Sports Bra,Athletic Shorts"
65,"Yoga Pants,Water Bottle,Sports Bra,Athletic Shorts"
66,"Yoga Pants,Sports Bra,Moisture-Wicking T-shirt,Sweatband"
67,"Athletic Shorts,Water Bottle,Gym Bag,Moisture-Wicking T-shirt"
68,"Athletic Shorts,Water Bottle,Sports Bra,Gym Bag"
69,"Yoga Pants,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
70,"Yoga Pants,Water Bottle,Moisture-Wicking T-shirt,Sweatband"
71,"Athletic Shorts,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
72,"Athletic Shorts,Water Bottle,Running Shoes,Moisture-Wicking T-shirt"
73,"Athletic Shorts,Water Bottle,Running Shoes,Sweatband"
74,"Yoga Pants,Running Shoes,Compression Socks,Moisture-Wicking T-shirt"
75,"Running Shoes,Compression Socks,Moisture-Wicking T-shirt,Sweatband"
76,"Running Shoes,Sports Bra,Yoga Pants,Moisture-Wicking T-shirt"
77,"Running Shoes,Sports Bra,Compression Socks,Sweatband"
78,"Running Shoes,Gym Bag,Athletic Shorts,Moisture-Wicking T-shirt"
79,"Gym Bag,Running Shoes,Yoga Pants,Sweatband"
80,"Gym Bag,Running Shoes,Sports Bra,Yoga Pants"
81,"Running Shoes,Water Bottle,Sports Bra,Compression Socks"
